iter	RMSE
165	207.5393186
166	207.5054161
167	206.7232338
168	205.7448703
169	205.3944364
170	204.2623434
171	204.2303884
172	204.1476577
173	203.1029199
174	202.9844972
175	202.0818102
176	201.3056518
177	199.084923
178	199.0430705
179	198.7172082
180	196.6885334
181	195.8927238
182	195.7303935
183	195.6711389
184	194.9407014
185	194.869018
186	194.1304476
187	193.5383669
188	192.8882388
189	192.7341304
190	192.6955321
191	192.0328506
192	190.6221379
193	190.5284172
194	189.0767526
195	188.8104242
196	188.1701368
197	187.2152927
198	186.3490239
199	185.5357942
200	185.3853163
201	185.3666967
202	184.9948034
203	184.3343213
204	183.7791513
205	183.4460884
206	182.056105
207	182.0256468
208	181.5042461
209	181.0454122
210	180.1904237
211	179.8594817
212	178.5121012
213	178.0060311
214	176.0543987
215	175.3497482
216	175.2275703
217	174.7519473
218	174.4511442
219	174.2371138
220	173.8324466
221	173.2233233
222	172.6800724
223	172.5743237
224	172.461772
225	171.2444695
226	170.6825678
227	170.5862363
228	169.9384264
229	169.9036801
230	169.7434461
231	169.3357119
232	169.2473377
233	168.0447695
234	167.4963929
235	167.3958675
236	166.5228564
237	165.6270885
238	165.5341588
239	165.1527374
240	165.1405337
241	164.7670783
242	164.5917161
243	164.0540035
244	164.0072206
245	163.9698344
246	162.6593433
247	161.9155413
248	161.503975
249	160.9897296
250	160.8991078
251	160.4962424
252	160.4844005
253	159.9882402
254	159.9499605
255	159.7551933
256	159.5772309
257	159.5397644
258	159.5256446
259	159.4111652
260	159.1741923
261	158.7833206
262	158.2446421
263	157.8782117
264	157.5514307
265	156.8643241
266	156.5108457
267	156.1912951
268	155.7896422
269	155.7076891
270	155.4747159
271	155.1588428
272	154.9256104
273	154.7648901
274	154.0317497
275	153.6932804
276	152.7184549
277	152.2003003
278	152.0037661
279	151.6546994
280	151.5266956
281	150.5998085
282	150.1813882
283	149.746054
284	149.6342903
285	148.2087152
286	147.9405987
287	147.6791888
288	147.0656742
289	146.8554785
290	146.3936344
291	146.0536288
292	146.0030057
293	145.7275612
294	145.4216536
295	145.3197739
296	145.2109676
297	144.2946732
298	144.0937907
299	143.9974712
300	143.7704174
301	143.692279
302	143.6619845
303	143.409455
304	143.1958682
305	143.1694309
306	143.1625459
307	141.8869638
308	141.6162067
309	141.4211224
310	141.2826611
311	141.2774557
312	141.0738847
313	140.8201368
314	140.5221563
315	140.1638436
316	139.5506361
317	139.1546468
318	138.5818643
319	138.577739
320	138.4267213
321	138.3592323
322	137.9994865
323	137.8457187
324	137.771185
325	137.1922231
326	136.9471938
327	136.2418535
328	135.986909
329	134.8700306
330	134.7486808
331	134.6757463
332	134.4146936
333	134.0711219
334	133.910538
335	133.81672
336	133.6406242
337	133.3636082
338	133.2069117
339	133.1482721
340	132.8152142
341	132.7415764
342	132.2677136
343	132.0603823
344	131.0644486
345	130.1540821
346	130.1121811
347	129.7305269
348	129.5217977
349	129.2568354
350	128.7053345
351	128.1847863
352	127.6930122
353	127.2280535
354	127.1850364
355	126.7453361
356	126.5728652
357	125.9601458
358	125.5607644
359	125.1825544
360	124.5206629
361	124.3108833
362	123.9970228
363	123.4546372
364	123.3514785
365	123.2933863
366	122.950976
367	122.7270045
368	122.3412445
369	122.1446115
370	121.7859738
371	121.6920857
372	121.3755829
373	121.1168141
374	120.6011491
375	120.4828173
376	120.2536201
377	119.1752949
378	118.9919365
379	118.8370385
380	118.6735189
381	118.559644
382	118.5438094
383	118.3998238
384	118.2226329
385	118.1524177
386	117.7399032
387	117.6274181
388	117.5436063
389	117.4204238
390	117.3819131
391	116.7999394
392	116.5645861
393	116.3926866
394	116.2148897
395	116.0462662
396	115.8958519
397	115.6950014
398	115.6339344
399	114.6864564
400	114.584176
401	114.4192062
402	114.1514043
403	113.2685221
404	112.980095
405	112.697623
406	112.592003
407	112.4147108
408	112.3127016
409	112.1852274
410	112.0147237
411	111.8609032
412	111.7577908
413	111.3706198
414	110.5395825
415	109.7636954
416	109.4853147
417	108.9143854
418	108.8892458
419	108.7592955
420	108.6431175
421	108.3182299
422	108.208689
423	108.0605523
424	107.8766024
425	107.7936743
426	107.6853796
427	107.5673937
428	107.4006413
429	107.275525
430	107.0051851
431	106.9116255
432	106.8253185
433	106.5746326
434	106.3154858
435	106.163551
436	106.0724206
437	105.951877
438	105.8042375
439	105.7525672
440	105.702313
441	104.9472078
442	104.6066598
443	104.3522259
444	104.2148434
445	104.0517053
446	103.8998309
447	103.8433538
448	103.7544778
449	103.653407
450	103.4455763
451	103.4403764
452	103.3564502
453	103.1800882
454	103.0972637
455	102.7088187
456	102.6522914
457	102.6471257
458	102.6425309
459	102.4019996
460	102.0380091
461	101.9076977
462	101.3951711
463	101.3203564
464	101.1911417
465	101.0549217
466	100.97475
467	100.8999872
468	100.794876
469	100.7908411
470	100.786897
471	100.6265383
472	100.5617051
473	99.85240093
474	99.51947832
475	98.89120819
476	98.81427356
477	98.68424515
478	98.55260909
479	98.3089023
480	98.30618318
481	98.20739993
482	97.6468901
483	97.51760634
484	97.45371534
485	97.37332686
486	97.32892539
487	97.21701795
488	96.96930216
489	96.41204951
490	96.30831024
491	96.08549827
492	96.00349662
493	95.91535102
494	95.8063907
495	95.78338085
496	95.6581587
497	95.63698264
498	95.61081602
499	95.57575698
500	95.34714248
501	95.34474974
502	95.23724957
503	95.15647485
504	95.02981823
505	94.88432708
506	94.68699894
507	94.45701723
508	94.44059432
509	94.37472269
510	94.29764692
511	94.16277363
512	94.05135192
513	93.91725675
514	93.79077173
515	93.61664597
516	93.55160923
517	93.48796679
518	93.2540342
519	93.19531068
520	93.18385834
521	93.09921758
522	92.92125803
523	92.67450123
524	92.57594363
525	92.52195446
526	92.42686083
527	92.33512539
528	92.25193134
529	91.73729696
530	91.49339521
531	91.21788165
532	91.08290265
533	90.96078683
534	90.86173613
535	90.68767652
536	90.63311205
537	90.57950758
538	90.4935937
539	90.4671513
540	90.29813329
541	90.2351972
542	90.1226966
543	89.99942053
544	89.92039673
545	89.91865755
546	89.81670198
547	89.76201339
548	89.47110975
549	89.35142999
550	89.24508981
551	88.99434685
552	88.99243603
553	88.90228796
554	88.81389582
555	88.60770161
556	88.52361359
557	88.47717236
558	88.37318367
559	88.30689849
560	88.13089044
561	88.04748325
562	87.96656258
563	87.82133795
564	87.64218454
565	87.35249217
566	87.24115312
567	87.02370614
568	86.93629823
569	86.86629172
570	86.72755031
571	86.65764628
572	86.37239974
573	86.2894392
574	86.08442728
575	85.99327983
576	85.83438951
577	85.64953413
578	85.64789331
579	85.6054009
580	85.38242749
581	85.31818383
582	85.05104523
583	84.8849612
584	84.76662242
585	84.68927896
586	84.66548344
587	84.59229891
588	84.58864409
589	84.47038512
590	84.36410033
591	84.25546136
592	84.195006
593	84.01181155
594	83.9272284
595	83.86305851
596	83.63354729
597	83.54505409
598	83.35282977
599	83.25779261
600	83.13384239
601	83.08391207
602	82.98487312
603	82.93894727
604	82.84323225
605	82.76737903
606	82.75120334
607	82.69272944
608	82.64490576
609	82.47589939
610	82.35523846
611	82.25034433
612	82.1461725
613	82.06462622
614	81.95809967
615	81.80933008
616	81.70657584
617	81.65212165
618	81.5485404
619	81.53383283
620	81.45915038
621	81.33466413
622	81.28247858
623	81.14680082
624	81.08040289
625	81.0308649
626	80.93599719
627	80.78330021
628	80.68778248
629	80.53774375
630	80.49640813
631	80.41120293
632	80.31855877
633	80.28796828
634	80.25661369
635	80.1421919
636	80.06071288
637	79.96753051
638	79.85602545
639	79.70926014
640	79.69354542
641	79.6027615
642	79.58442121
643	79.42783875
644	79.37573952
645	79.35716925
646	79.22805285
647	79.13531568
648	79.0983639
649	78.95114295
650	78.82201287
651	78.73378063
652	78.62293984
653	78.47674467
654	78.41708963
655	78.34029023
656	78.32214973
657	78.28678484
658	78.2828894
659	78.15352859
660	78.03292133
661	77.91598103
662	77.91369046
663	77.79574257
664	77.75999616
665	77.66527822
666	77.62036365
667	77.56319048
668	77.52184834
669	77.37672667
670	77.25508617
671	77.22795391
672	77.19619846
673	77.03718366
674	76.9057091
675	76.89676342
676	76.80919738
677	76.74308911
678	76.67892885
679	76.61717003
680	76.59133514
681	76.58887977
682	76.43863452
683	76.28883638
684	76.2068686
685	76.1321709
686	76.05070244
687	75.986144
688	75.90279816
689	75.83614157
690	75.76320199
691	75.67173906
692	75.45532746
693	75.34809594
694	75.22823995
695	75.17772106
696	75.13620733
697	75.09019916
698	75.00376154
699	74.9204943
700	74.79047025
701	74.63869277
702	74.59291014
703	74.50923029
704	74.43817834
705	74.39906443
706	74.30980391
707	74.22161304
708	74.1410481
709	74.12898674
710	74.06663713
711	74.05549447
712	74.01684311
713	73.94930994
714	73.89616458
715	73.7589001
716	73.72106964
717	73.64555107
718	73.64413385
719	73.58123597
720	73.51457375
721	73.38524384
722	73.3787906
723	73.19418391
724	73.13087009
725	73.1163492
726	73.03735598
727	73.00284757
728	72.96335515
729	72.93564296
730	72.86679467
731	72.86487233
732	72.82664624
733	72.71776628
734	72.71557188
735	72.6595316
736	72.60044186
737	72.53722716
738	72.41754231
739	72.37206259
740	72.24370131
741	72.20254012
742	72.17602478
743	72.10423054
744	71.99253596
745	71.99132488
746	71.99008491
747	71.97351644
748	71.93995365
749	71.83491766
750	71.77701179
751	71.66029431
752	71.62920507
753	71.52692039
754	71.4606339
755	71.30660835
756	71.19383776
757	71.19210486
758	71.1060608
759	71.08419153
760	71.00947591
761	71.00846037
762	70.9709177
763	70.92845208
764	70.8145264
765	70.74626293
766	70.42492225
767	70.3966496
768	70.3580578
769	70.19666295
770	70.15937226
771	70.10223265
772	70.08478269
773	70.08346522
774	69.99125264
775	69.92310343
776	69.92220841
777	69.85481727
778	69.74694436
779	69.63804423
780	69.63699194
781	69.55415608
782	69.49175857
783	69.42629871
784	69.35765613
785	69.28246243
786	69.14836848
787	69.06525259
788	69.02165581
789	68.95816296
790	68.89143439
791	68.81241858
792	68.75150461
793	68.69836767
794	68.64155655
795	68.5512203
796	68.44022406
797	68.43915372
798	68.3229458
799	68.27470416
800	68.22124868
801	68.19017088
802	68.17517641
803	68.10997886
804	68.00856201
805	68.00620097
806	67.86848142
807	67.77353963
808	67.71323727
809	67.59461935
810	67.5635798
811	67.55956597
812	67.46242267
813	67.39650935
814	67.30044547
815	67.25136716
816	67.18432879
817	67.12230525
818	67.08942475
819	67.03312033
820	66.97312243
821	66.90952515
822	66.89093576
823	66.8873785
824	66.88629999
825	66.77334492
826	66.71185874
827	66.65778589
828	66.61848197
829	66.58453398
830	66.56349724
831	66.49998507
832	66.40005543
833	66.36707909
834	66.30512065
835	66.27197901
836	66.23362554
837	66.11578301
838	66.10011892
839	66.04266837
840	65.90312984
841	65.82946421
842	65.74121875
843	65.68892229
844	65.68127112
845	65.64260898
846	65.58973444
847	65.50756479
848	65.41831259
849	65.35947207
850	65.3587743
851	65.3466228
852	65.30616119
853	65.21390101
854	65.11543568
855	65.07863768
856	65.05624952
857	64.91031205
858	64.8056066
859	64.6230461
860	64.56917521
861	64.55561273
862	64.37837002
863	64.31152255
864	64.23963159
865	64.13975723
866	64.13908754
867	64.06906662
868	64.00333813
869	63.95646622
870	63.90730391
871	63.82622122
872	63.82295432
873	63.69855394
874	63.69167397
875	63.67421044
876	63.5577511
877	63.46872417
878	63.41696182
879	63.38826113
880	63.28548637
881	63.25079467
882	63.12309195
883	63.03405192
884	62.95125571
885	62.93170734
886	62.88895502
887	62.85849112
888	62.77780173
889	62.72903385
890	62.67935242
891	62.64316422
892	62.58483539
893	62.56119586
894	62.46981603
895	62.43411394
896	62.42704336
897	62.32239288
898	62.26187847
899	62.22159486
900	62.19074196
901	62.1347387
902	62.07635319
903	62.02164983
904	61.91609969
905	61.87726598
906	61.86130612
907	61.8076851
908	61.74710237
909	61.69709434
910	61.61226339
911	61.55726277
912	61.51496903
913	61.46812913
914	61.44914798
915	61.34353325
916	61.25691778
917	61.20623655
918	61.08327804
919	61.0315116
920	60.9679392
921	60.9038582
922	60.87285031
923	60.86641062
924	60.78183616
925	60.72016595
926	60.68536639
927	60.6713889
928	60.66850643
929	60.59149737
930	60.55664659
931	60.44148892
932	60.35677479
933	60.30353107
934	60.24990503
935	60.22162853
936	60.12368363
937	60.02657457
938	59.96959768
939	59.86274872
940	59.83100484
941	59.78252919
942	59.71255344
943	59.6446787
944	59.61580009
945	59.56841755
946	59.49505692
947	59.45836777
948	59.42970101
949	59.3956612
950	59.38333418
951	59.30122785
952	59.18168656
953	59.0886831
954	59.04176774
955	59.02514346
956	59.01488649
957	58.98314059
958	58.9272196
959	58.88014983
960	58.87832587
961	58.81996687
962	58.78921718
963	58.75058212
964	58.65864946
965	58.62666178
966	58.52616562
967	58.51276578
968	58.43898393
969	58.34088863
970	58.26909902
971	58.2359442
972	58.1990697
973	58.13394531
974	58.08159791
975	58.08015346
976	57.98453317
977	57.91699141
978	57.88909677
979	57.86352147
980	57.86273768
981	57.813255
982	57.802052
983	57.77595817
984	57.74760554
985	57.68355975
986	57.64022904
987	57.60364963
988	57.56570018
989	57.49779714
990	57.39548805
991	57.38466633
992	57.26689221
993	57.23159585
994	57.23090144
995	57.17556402
996	57.15409402
997	57.14729423
998	57.11397285
999	57.05225037
